url,name,description
https://movie.douban.com/subject/25864085/,火星救援,载人航天宇宙飞船阿瑞斯3号成功抵达火星，谁知一场破坏力极其巨大的风暴向宇航员们袭来，阿瑞斯3号被迫中断任务，紧急返航。撤离途中，宇航员马克·沃特尼（马特·达蒙 Matt Damon 饰）被飞船上吹落的零件击中，由于生还希望渺茫，队友们只得匆匆返航，并向世人宣告他已牺牲的事实。出乎意料的是，马克以极低的概率活了下来。他躲进驻火星的航天基地疗伤。下一次火星任务要等到四年后，而基地内的补给仅够他维持31天。短暂的绝望后，马克决定利用有限的食物，在这颗空无一人的星球上种植作物，寻找一线生机。与此同时，地球方面也很快发现马克生还的事实，他们想尽办法部署营救计划。孤军奋战的马克，能否等到救援队伍的到来？?
https://movie.douban.com/subject/1966182/,霍比特人1：意外之旅?,　中土最后一座矮人王国埃尔波尔，巍峨壮丽，庄严雄伟。老国王索尔积聚大量财富，却引来恶龙史茅革的觊觎和荼毒，最终导致这座城池陷落。许多年后，灰袍巫师甘道夫（伊恩·麦凯伦 Ian McKellen 饰）找到弗罗多的舅舅——霍比特人比尔博·巴金斯（马丁·弗里曼 Martin John C. Freeman 饰），邀请他加入由13名矮人组成的远征队伍。原来史茅革已多年不见声息，背负家国仇恨的矮人王子索林（理查德·阿米蒂奇 Richard Armitage 饰）希望借此机会收复故土。经过一番考虑，巴金斯决定加入。令他想不到的是，远征旅途多灾多难，与索林结下深仇大恨的苍白半兽人及其爪牙阴魂不散，更有食人鬼和石人制造的无数艰险。而在旅途中，巴金斯也意外得到了日后影响整个中土的重要宝物……?
https://movie.douban.com/subject/6549903/,逃离德黑兰,1979年11月4日，伊朗的革命军攻进了美国在伊朗德黑兰的大使馆，将大使馆的工作人员劫为人质。有超过50名人员被关押，但有6人逃脱，并躲在加拿大驻伊朗大使Ken Taylor（维克多·加博 Victor Garber 饰）的家里。CIA高层Jack O'Donnell（ 布莱恩·科兰斯顿 Bryan Cranston 饰）找到专家Tony Mendez（本·阿弗莱克 Ben Affleck 饰），让他协助将那六个人带回美国。经过讨论后，CIA决定采取Tony的办法，以拍摄电影的名义，Tony到伊朗将那六个人带回。Tony联系了他在好莱坞的朋友，化妆师John Chambers（约翰·古德曼 John Goodman 饰），并联系了电影制片人Lester（艾伦·阿金 Alan Arkin 饰）。Tony在许多剧本中选中了《ARGO》，一部和《星球大战》极为类似的电影。于是他作为制片人带着剧本和各种道具前往伊朗，找到了那六个人，开始了艰苦的逃离德黑兰之路......?
https://movie.douban.com/subject/27120588/,爬出窗外并消失的百岁老人,威尔·法瑞尔有望主演一部根据瑞典同名畅销小说《爬出窗外并消失的百岁老人》改编的新片。该片由[大空头]导演亚当·麦凯制片，《毒枭》制片杰森·乔治执笔剧本。影片故事类似于[阿甘正传]，并将跟随百岁老人阿朗·卡松的一生，讲述他如何救下弗朗哥、又怎么和杜鲁门共进晚餐等传奇经历。
https://movie.douban.com/subject/6879185/,为奴十二年,Solomon Northup（切瓦特·埃加福特 Chiwetel Ejiofor 饰）本来是一个自由人，以演奏小提琴为生，有一个妻子和两个孩子，生活其乐融融。不料他却被两个白人以为马戏团表演伴奏所骗，去了华盛顿，一觉醒来发现自己成了黑奴。起初他被卖给了Ford先生（本尼迪克特·康伯巴奇 Benedict Cumberbatch 饰），在庄园里当奴隶。不久又被卖给了素有“黑奴终结者”之称的Epps先生（迈克尔·法斯宾德 Michael Fassbender 饰），他在种植园里日复一日地采摘棉花，也目睹了许多黑奴的悲剧。12年过去了，他始终没有放弃重回自由人的希望，直到遇到了一个思想进步的人士——木匠Bass先生（布拉德·皮特 Brad Pitt 饰）。Solomon是否能结束他身为奴隶的命运？?
https://movie.douban.com/subject/1920805/,成为简·奥斯汀,简?奥斯汀（安妮·海瑟薇 Anne Hathaway 饰）的一生是否如她的文字那样充满曲折的过程和完满的结局？《成为简》用传记方式描述她的一生：她的母亲竭力为她撮合婚事，对象是上层社会的有钱人。但是简不接受没有爱情的婚姻，认为女人要靠自己的能力去养活自身。于是，她拒绝贵族瓦斯莱先生的求婚，爱上了心灵相通的汤姆?勒弗罗伊（詹姆斯·麦卡沃伊 James McAvoy 饰）。?　　好事多磨，有人从中作梗，导致汤姆家人并不赞成二人婚事，汤姆决定携简私奔。但是这样一来，汤姆的经济来源就会被切断，简亦将面临着世俗的压力和贫困的生活。到底二人在私奔路上会走得多远？会不会有美满的结局？
https://movie.douban.com/subject/1292001/,海上钢琴师 La leggenda del pianista sull'oceano,本片讲述了一个钢琴天才传奇的一生。?　　1900年，Virginian号豪华邮轮上，一个孤儿被遗弃在头等舱，由船上的水手抚养长大，取名1900（蒂姆?罗斯 饰）。1900慢慢长大，显示出了无师自通的非凡钢琴天赋，在船上的乐队表演钢琴，每个听过他演奏的人，都被深深打动。爵士 乐鼻祖杰尼听说了1900的高超技艺，专门上船和他比赛，最后自叹弗如，黯然离去。?　　可惜，这一切的事情都发生在海上，1900从来不愿踏上陆地，直到有一天，他爱上了一个女孩，情愫在琴键上流淌。他会不会为了爱情，踏上陆地开始新的生活，用他的琴声惊艳世界？他将怎样谱写自己非凡的人生。
https://movie.douban.com/subject/1438520/,锅匠，裁缝， 士兵，间谍?,本片片名来自英国民间的《鹅妈妈童谣集》，根据约翰?勒卡雷的同名小说改编　冷战时，全球两大特工组织——俄罗斯“中心”与英国“圆场”明争暗斗。总管发现情报局内部潜伏着一名克格勃，怀疑对象就是包括总管助理乔治在内的几名情报局核心成员：锅匠，裁缝，士兵，穷人，乞丐。老总为查清事情策划了一次跨国间谍活动，结果惨遭失败，不久就在内部权力倾轧中失利引退。同时，也连累一批情报官员被清洗出局，其中也包括被提前退休的乔治。乔治本来有重大嫌疑，英国内阁办公室谍报总监排除了嫌疑，委托他调查内奸。于是乔治开始分别走访故人。一时间，圆场疑云密布，人人自危，究竟谁才是“地鼠”
https://movie.douban.com/subject/1927369/,天使与魔鬼,本片根据美国畅销作家丹?布朗的同名小说改编。欧洲核子中心的科学家维多利亚?维特勒（阿耶莱特?祖瑞尔 Ayelet Zurer 饰）与父亲在高速粒子对撞机实验中收集到了反物质，却发现父亲遇害，尸体胸口被烙“光照派”符号，高爆炸性的反物质被偷走，出现在正待选新教皇的罗马梵蒂冈，威胁天主教廷及整个罗马的安危。于此同时，四位主要教皇候选人的红衣主教神秘失踪。在教皇内侍（伊万?麦克格雷格 Ewan McGregor 饰）的授意下，哈佛大学的符号学专家罗伯特?兰登教授和维多利亚都被请到梵蒂冈协助罗马警察开展搜寻行动。兰登说服罗马总探员奥利维迪（皮耶法兰西斯柯?法维诺Pierfrancesco Favino 饰）依照“土、气、火、水”的提示在罗马的名胜教堂间与“光照派”展开了时间战
https://movie.douban.com/subject/1291571/,指环王1：魔戒再现,毕尔博?巴金斯是100多岁的哈比人，住在故乡夏尔，生性喜欢冒险，在年轻时的一次探险经历中，他从怪物咕噜手中得到了至尊魔戒，这枚戒指是黑暗魔君索伦打造的至尊魔戒，拥有奴役世界的邪恶力量，能够统领其他几枚力量之戒，在3000年前的人类联盟和半兽人大军的战役中，联盟取得了胜利，并得到了至尊魔戒，数千年的辗转后，魔戒落到咕噜手中，被比尔博碰巧得到因为和魔戒的朝夕相处，比尔博的心性也受到了影响，在他111岁的生日宴会上，他决定把一切都留给侄子佛罗多(伊莱贾?伍德 饰)，继续冒险。 比尔博的好朋友灰袍巫师甘道夫（伊恩?麦凯伦 饰）知道至尊魔戒的秘密，同时，黑暗魔君索伦已经知道他的魔戒落在哈比族的手中。索伦正在重新建造要塞巴拉多，集结无数的半兽人，准备以大军 夺取魔戒，并且征服全世界。甘道夫说服佛罗多将魔戒护送到精灵王国瑞文希尔，佛罗多在好朋友山姆、皮平和梅利的陪同下，在跃马旅店得到了刚铎王子阿拉贡的帮助，历经艰难，终于到达了精灵王国。
https://movie.douban.com/subject/2367243/,独奏者,史蒂夫·洛佩兹（小罗伯特·唐尼 Robert Downey Jr. 饰）是一名洛杉矶时报的记者，最近因为一次骑行意外而住进了医院。在病床上，他经常听见附近传来优美的小提琴声，从而结实了天才小提琴手纳萨尼尔·埃尔斯（杰米·福克斯 Jamie Foxx 饰），渐渐地他发现，埃 尔斯原来曾进修于声名显赫的茱莉亚音乐学院，然而却因精神分裂症而辍学，如今只能流落街头卖艺为生。洛佩兹决意将埃尔斯的故事写成专栏，为此他开始留意埃尔斯的一举一动，在相互了解的过程中，两人渐渐建立了深厚友谊，洛佩兹为了帮助埃尔斯完成音乐梦想甚至抛家弃业，然而埃尔斯的精神疾病却始终是两人之间的羁绊……?　　本片根据史蒂夫·洛佩兹发表在报纸上的文章进行改编
https://movie.douban.com/subject/1291853/,英国病人,一架英国飞机在飞越撒哈拉沙漠时被德军击落，机师由于受伤，想不起自己是谁，因此被叫做“英国病人”。汉娜是战地医院的一名护士，她决定独身留下来照顾那个英国病人。他们停留的地方是意大利的一个废弃的修道院，远离战争的喧嚣，显得宁静而闲逸，“英国病人”静静的躺在房间的木床上，窗头的一本旧书渐渐唤起了他的思绪…一段爱情，在战火中燃烧，逾越了道德，改变了战局。考古学家艾马殊伯爵（拉尔夫?费因斯 Ralph Fiennes 饰）跟随探险家来到撒哈拉沙漠考察，结识了绘制地图的飞机师杰佛和他妻子凯瑟琳（克里斯汀?斯科特?托马斯 Kristin Scott Thomas 饰）。凯 瑟琳的才气和美丽让艾马殊深深着迷，两人在沙漠一个幽深洞穴参观壁画时，更加发现彼此志趣相投。 道德最终战胜了激情。凯瑟琳和艾马殊分手后，杰弗发现了妻子的外遇。伤心的杰弗开着飞机企图与妻子和艾马殊同归于尽，艾马殊幸运躲过一劫，却造成凯瑟琳身受重伤、自己命丧黄泉。艾马殊赶到深爱的人身边，把她安置到山洞里，承诺一定会走出沙漠，找到援助。但是，事情却不像想象中容易。他为了救人，担当了卖国罪名，惹来了杀身之祸，最终他没有违背诺言，可是，嘉芙莲已在寒冷中永远地离开了他……艾马殊将嘉芙莲的遗体放上飞机，在飞越撒哈拉沙漠时被德军击落，于是发生了影片开头的一幕。 在照顾“英国病人”的日子里，汉娜结识了印度籍的拆弹手基普，两人互生情愫。即使战争已然结束，但拆弹手基普必然仍要无数次面对死亡最终，应英国病人的要求，汉娜给他注射了大剂量的吗啡
